,City,Country,Date,Latitude,Longitude,Max temperature,Humidity,Cloudiness,Wind Speed
357,Vardø,NO,1638054584,70.3705,31.1107,24.51,77,58,11.72
358,Te Anau,NZ,1638054584,-45.4167,167.7167,56.97,58,83,2.33
359,Tateyama,JP,1638054585,34.9833,139.8667,46.42,45,0,15.5
360,Bambous Virieux,MU,1638054367,-20.3428,57.7575,73.65,88,20,3.44
361,Mount Gambier,AU,1638054586,-37.8333,140.7667,60.19,53,5,8.03
362,Yur’yevets,RU,1638054586,57.3201,43.1041,32.25,97,100,21.63
363,Kedrovoye,RU,1638054587,57.1576,60.5698,29.64,86,100,10.92
364,Iida,JP,1638054587,35.5197,137.8207,37.06,56,2,3.74
365,Lokosovo,RU,1638054588,61.1333,74.8167,28.94,96,99,14.81
366,Botou,CN,1638054588,38.0667,116.5667,43.93,71,100,6.35
367,Ambon City,ID,1638054589,-3.6954,128.1814,78.94,89,20,5.75
368,Cayenne,GF,1638054589,4.9333,-52.3333,80.64,89,75,4.61
369,Mikhaylovka,RU,1638054590,50.06,43.2379,37.56,95,100,15.05
370,Liverpool,GB,1638054489,53.4106,-2.9779,35.55,55,0,14.97
371,Beloha,MG,1638054591,-25.1667,45.05,59.79,65,0,8.43
372,Neiafu,TO,1638054591,-18.65,-173.9833,83.08,83,40,10.36
373,Kavaratti,IN,1638054349,10.5669,72.642,81.5,77,100,9.24
374,Petropavlovsk-Kamchatskiy,RU,1638054592,53.0452,158.6483,18.19,63,40,13.42
375,Tupik,RU,1638054592,54.4253,119.9327,5.59,94,100,3.24
376,Kaabong,UG,1638054592,3.4836,34.1492,66.92,76,49,11.92
377,Oromocto,CA,1638054593,45.8351,-66.4792,26.53,86,75,16.11
378,Praia,CV,1638054594,14.9215,-23.5087,75.74,73,40,20.71
379,Baishishan,CN,1638054594,43.5833,127.5667,18.07,85,4,2.91
380,Pevek,RU,1638054343,69.7008,170.3133,-13.31,83,7,4.14
381,Bereda,ES,1638054595,43.2686,-7.5406,44.35,86,81,6.44
382,Pisco,PE,1638054374,-13.7,-76.2167,68.05,77,0,17.27
383,Kailua,US,1638054595,21.4022,-157.7394,82.38,69,75,9.22
384,Ponta Delgada,PT,1638054596,37.7333,-25.6667,59.72,72,75,3.44
385,Seoul,KR,1638054354,37.5683,126.9778,31.44,38,0,2.62
386,Bestöbe,KZ,1638054596,52.4994,73.0975,17.06,84,41,18.07
387,Lázaro Cárdenas,MX,1638054597,17.9583,-102.2,82.11,67,14,7.83
388,Itoman,JP,1638054597,26.1247,127.6694,70.18,56,75,17.27
389,Verkhnyaya Toyma,RU,1638054598,62.2349,44.9985,19.35,96,100,6.17
390,Vanavara,RU,1638054598,60.34,102.2797,6.8,95,100,6.46
391,Erzin,TR,1638054599,36.9559,36.2,55.92,63,100,3.91
392,Saint-Augustin,CA,1638054599,51.226,-58.6502,43.99,80,99,11.5
393,Sīrjān,IR,1638054600,29.452,55.6814,52.27,47,2,0.34
394,Slonim,BY,1638054600,53.0867,25.3219,35.2,79,100,8.57
395,Parabel',RU,1638054601,58.6978,81.4825,25.56,92,100,12.33
396,Tual,ID,1638054601,-5.6667,132.75,82.76,71,99,4.76
397,Overpelt,BE,1638054517,51.2107,5.4139,38.17,93,90,4.61
398,Kropotkin,RU,1638054602,45.4375,40.5756,46.53,69,100,8.88
399,Trivandrum,IN,1638054603,8.4833,76.9167,78.78,89,75,3.44
400,Esperance,AU,1638054603,-33.8667,121.9,67.06,54,0,14.43
401,Mazagão,BR,1638054604,-0.115,-51.2894,80.65,88,45,4.72
402,Saint Anthony,US,1638054380,45.0205,-93.218,40.93,51,1,8.05
403,Lerwick,GB,1638054605,60.1545,-1.1494,33.8,58,100,15.35
404,Krapivinskiy,RU,1638054605,54.9992,86.8133,20.84,93,100,13.76
405,Henderson,US,1638054606,36.0397,-114.9819,71.04,7,1,0.0
406,Nishihara,JP,1638054608,26.1842,127.7558,69.46,56,75,17.27
407,Coronel Vivida,BR,1638054608,-25.9797,-52.5678,64.56,88,0,4.23
408,Rome,US,1638054609,34.257,-85.1647,54.01,46,1,3.44
409,Hashtrūd,IR,1638054609,37.4779,47.0508,40.01,57,100,2.86
410,Heubach,DE,1638054610,48.7927,9.9337,31.08,91,75,3.33
411,Malé,MV,1638054109,4.1748,73.5089,80.19,80,100,15.5
412,Jirkov,CZ,1638054610,50.4998,13.4477,33.35,97,100,1.52
413,Oleksandrivka,UA,1638054611,46.8383,32.7612,47.88,91,0,7.85
414,Manokwari,ID,1638054163,-0.8667,134.0833,80.98,80,100,7.96
415,Mandera,KE,1638054611,3.9366,41.867,79.27,68,50,7.47
416,Maunabo,PR,1638054612,18.0072,-65.8993,82.22,83,11,9.08
417,Poum,NC,1638054612,-20.2333,164.0167,80.67,74,1,6.29
418,Diamantino,BR,1638054613,-14.4086,-56.4461,79.56,76,100,0.72
419,Ravne,SI,1638054613,45.9625,15.0128,38.35,98,100,3.09
420,Paithan,IN,1638054614,19.4833,75.3833,64.2,60,97,7.05
421,Berezovyy,RU,1638054614,51.6667,135.7,14.04,95,100,1.12
422,São José da Coroa Grande,BR,1638054615,-8.8978,-35.1478,79.88,75,60,13.31
423,Ajdabiya,LY,1638054616,30.7554,20.2263,71.78,33,26,10.47
424,Massena,US,1638054339,44.9281,-74.8919,26.89,63,1,12.66
425,Pangody,RU,1638054616,65.85,74.4859,1.8,99,99,3.67
426,Kalemie,CD,1638054617,-5.9475,29.1947,69.89,78,59,2.82
427,Kawambwa,ZM,1638054617,-9.7915,29.0791,61.88,94,24,5.82
428,Port Hedland,AU,1638054618,-20.3167,118.5667,91.45,16,9,24.16
429,Tevriz,RU,1638054618,57.509,72.4042,27.95,91,100,10.33
430,Takapau,NZ,1638054619,-40.0333,176.35,66.74,58,100,1.32
431,Bowen,AU,1638054619,-20.0167,148.2333,82.53,69,0,7.16
432,Tambun,ID,1638054620,-6.2641,107.0712,75.24,88,40,6.91
433,Lüderitz,NA,1638054365,-26.6481,15.1594,60.06,87,0,4.32
434,Kipushi,CD,1638054621,-11.7667,27.2333,60.17,97,71,3.87
435,Sidi Ali,DZ,1638054621,36.0998,0.4206,51.04,60,94,21.3
436,Potsdam,DE,1638054622,52.3989,13.0657,35.73,93,100,5.73
437,Sohāgpur,IN,1638054622,22.7,78.2,59.74,44,80,4.52
438,Inta,RU,1638054623,66.0317,60.1659,-11.0,98,55,5.32
439,Half Moon Bay,US,1638054623,37.4636,-122.4286,69.98,49,1,8.05
440,Lata,PT,1638054624,40.1629,-8.3327,41.09,69,0,4.23
441,Saint Simons,US,1638054624,31.1352,-81.3901,53.64,78,1,0.0
442,Vostok,RU,1638054343,46.4856,135.8833,6.4,96,61,4.79
443,Broken Hill,AU,1638054625,-31.95,141.4333,66.92,50,9,16.31
444,Maricá,BR,1638054625,-22.9194,-42.8186,78.71,90,91,5.99
445,Upata,VE,1638054626,8.0086,-62.3989,72.95,93,93,4.23
446,Atocha,BO,1638054626,-20.9333,-66.2333,56.91,42,100,9.4
447,Raudeberg,NO,1638054627,61.9875,5.1352,27.27,55,4,6.85
448,São Sebastião,BR,1638054627,-23.76,-45.4097,72.86,90,47,3.4
449,Madimba,TZ,1638054628,-10.4,40.3333,79.05,75,100,13.76
450,Rock Sound,BS,1638054628,24.9,-76.2,75.43,63,6,9.69
451,Takoradze,GH,1638054322,4.8845,-1.7554,79.38,83,98,7.74
452,Itaituba,BR,1638054371,-4.2761,-55.9836,76.51,90,91,2.19
453,San Juan,AR,1638054628,-31.5375,-68.5364,73.65,46,99,28.23
454,Celestún,MX,1638054630,20.8667,-90.4,77.38,69,36,11.07
455,Indramayu,ID,1638054630,-6.3264,108.32,76.87,87,100,11.1
456,Neuruppin,DE,1638054630,52.9282,12.8031,35.85,98,100,5.79
457,Lowestoft,GB,1638054631,52.4752,1.7516,43.05,87,96,27.02
458,Chapais,CA,1638054631,49.7834,-74.8492,18.77,84,100,14.27
459,Qaqortoq,GL,1638054351,60.7167,-46.0333,39.7,99,100,3.76
460,Burgas,BG,1638054632,42.5061,27.4678,51.91,93,0,3.44
461,Nha Trang,VN,1638054633,12.25,109.1833,75.2,94,100,8.59
462,Hailar,CN,1638054633,49.2,119.7,5.88,97,98,3.09
463,El Ocotito,MX,1638054634,17.25,-99.5667,76.33,65,5,3.4
464,Coyhaique,CL,1638054439,-45.5752,-72.0662,57.15,41,75,9.22
465,Tadine,NC,1638054635,-21.55,167.8833,76.66,85,100,14.63
466,Gushi,CN,1638054377,34.6425,109.5843,40.68,67,7,4.0
467,Joshīmath,IN,1638054635,30.5667,79.5667,44.73,22,0,7.05
468,Chicama,PE,1638054636,-7.8447,-79.1469,63.14,76,86,8.95
469,Cairns,AU,1638054636,-16.9167,145.7667,85.95,70,75,3.44
470,Nador,MA,1638054577,35.174,-2.9287,59.25,63,75,16.11
471,Wajir,KE,1638054382,1.7471,40.0573,77.77,73,100,13.27
472,Kiryat Gat,IL,1638054637,31.61,34.7642,59.68,42,19,2.66
473,Amparafaravola,MG,1638054637,-17.5833,48.2167,68.88,92,99,3.09
474,Nikol'sk,RU,1638054638,53.7189,46.0712,31.03,96,100,18.23
475,Atyrau,KZ,1638054639,47.1167,51.8833,35.62,51,40,17.9
476,San Antonio,US,1638054634,29.4241,-98.4936,53.35,85,90,0.0
477,Matagami,CA,1638054639,49.7502,-77.6328,15.21,93,100,9.91
478,Diego de Almagro,CL,1638054640,-26.3667,-70.05,71.49,24,0,8.52
479,Mbaïki,CF,1638054641,3.8678,17.9892,72.81,52,100,1.86
480,Stephenville,US,1638054642,32.2207,-98.2023,52.41,93,90,3.44
481,Sarankhola,BD,1638054642,22.3082,89.7897,60.28,71,21,4.41
482,Kirakira,SB,1638054643,-10.4544,161.9205,84.47,72,75,6.93
483,Sangar,RU,1638054644,63.9242,127.4739,-13.99,100,100,2.59
484,Carquefou,FR,1638054644,47.2982,-1.4902,39.99,87,75,9.22
485,Victor Harbor,AU,1638054645,-35.5667,138.6167,66.29,59,0,8.79
486,Comodoro Rivadavia,AR,1638054645,-45.8667,-67.5,62.46,29,0,12.66
487,De-Kastri,RU,1638054646,51.4667,140.7833,16.57,89,38,6.22
488,Darfo,IT,1638054647,45.8779,10.1812,44.92,99,100,1.34
489,Guayaquil,EC,1638054448,-2.1667,-79.9,80.56,65,40,11.5
490,Sechura,PE,1638054648,-5.5569,-80.8222,71.8,65,41,17.94
491,Yuzhno-Kurilsk,RU,1638054650,44.0306,145.8556,37.8,65,100,21.97
492,Nordborg,DK,1638054650,55.0573,9.7408,39.09,87,75,9.22
493,Ningyang,CN,1638054650,35.7642,116.7914,43.57,83,100,5.73
494,Konstantinovka,RU,1638054651,49.6167,127.9833,8.78,97,81,4.07
495,Changping,CN,1638054651,40.2186,116.2197,35.24,61,84,2.89
496,Bonthe,SL,1638054652,7.5264,-12.505,80.24,81,73,4.14
497,Bathsheba,BB,1638054387,13.2167,-59.5167,81.21,78,20,12.66
498,Ouadda,CF,1638054653,8.0777,22.4007,69.26,31,57,3.31
499,Araouane,ML,1638054653,18.9048,-3.5265,76.96,22,100,1.61
500,Xining,CN,1638054521,36.6167,101.7667,28.76,38,20,1.7
501,Mineiros,BR,1638054654,-17.5694,-52.5511,70.92,88,66,3.49
502,Aranos,NA,1638054654,-24.1333,19.1167,66.72,9,0,9.31
503,Novobirilyussy,RU,1638054655,56.9514,90.6661,20.59,93,100,12.75
504,Scarborough,GB,1638054655,54.2797,-0.4044,35.17,65,98,27.11
505,Pasni,PK,1638054656,25.2631,63.471,74.39,33,1,12.12
506,Fomboni,KM,1638054656,-12.28,43.7425,80.08,79,96,18.03
507,Mirny,RU,1638054657,62.5353,113.9611,-4.68,94,77,9.35
508,Nosy Varika,MG,1638054658,-20.5833,48.5333,69.87,93,99,13.78
509,Mitsamiouli,KM,1638054658,-11.3847,43.2844,80.02,80,100,9.4
510,Ak-Dovurak,RU,1638054659,51.1833,90.6,4.78,78,100,1.36
511,Camaná,PE,1638054659,-16.6228,-72.7111,67.51,81,79,8.14
512,Hope,US,1638054660,33.6671,-93.5916,53.65,42,100,7.43
513,Langå,DK,1638054660,56.3903,9.8949,37.51,98,100,4.97
514,Atherton,GB,1638054661,53.5237,-2.4935,35.15,62,22,10.89
515,Cap-aux-Meules,CA,1638054661,47.3821,-61.8597,37.45,75,75,23.02
516,Nanortalik,GL,1638054662,60.1432,-45.2371,43.2,97,100,15.75
517,Palmeiras de Goiás,BR,1638054662,-16.805,-49.9258,73.17,87,84,4.72
518,Puerto Colombia,CO,1638054663,10.9878,-74.9547,80.55,81,35,15.03
519,Shirokiy,RU,1638054664,49.758,129.523,3.97,96,98,4.16
520,San Clemente,US,1638054513,33.427,-117.612,83.91,43,4,4.27
521,Hīt,IQ,1638054664,33.6416,42.8251,61.9,45,100,7.94
522,Acajutla,SV,1638054338,13.5928,-89.8275,83.08,57,36,4.56
523,Boa Vista,BR,1638054665,2.8197,-60.6733,82.38,74,40,4.61
524,Sabzawār,IR,1638054435,36.2126,57.6819,45.72,56,6,0.18
525,Ures,MX,1638054666,29.4333,-110.4,75.33,31,0,3.83
526,Sinop Province,TR,1638054666,41.7711,34.8709,52.14,84,100,13.2
527,Madingou,CG,1638054667,-4.1536,13.55,71.85,95,100,0.78
528,Tomatlán,MX,1638054668,19.9333,-105.25,81.63,61,15,6.76
529,Corbu,RO,1638054668,44.3833,28.65,40.32,100,0,1.14
530,Leander,US,1638054417,30.5788,-97.8531,52.12,100,90,3.44
531,Qalyub,EG,1638054669,30.1792,31.2056,68.25,34,53,2.04
532,Kenai,US,1638054669,60.5544,-151.2583,6.89,78,90,0.0
533,Monkey Bay,MW,1638054670,-14.0728,34.9201,73.45,70,9,19.91
534,Baykit,RU,1638054670,61.67,96.37,-5.67,100,98,1.95
535,Murud,IN,1638054671,18.3258,72.965,74.35,62,44,4.97
536,Kostanay,KZ,1638054672,53.1667,63.5833,8.89,85,0,8.95
537,Mana,GF,1638054672,5.6592,-53.7767,78.48,86,51,9.93
538,Quatre Cocos,MU,1638054673,-20.2078,57.7625,73.51,72,7,5.82
539,Valavanur,IN,1638054674,11.9209,79.5824,73.29,96,100,7.25
540,Shangrao,CN,1638054674,28.4532,117.9686,49.73,88,0,5.19
541,Ust-Tsilma,RU,1638054675,65.441,52.1498,-7.82,100,57,1.12
542,Gonder,ET,1638054675,12.6,37.4667,58.75,60,24,6.35
543,Les Escoumins,CA,1638054676,48.1111,-69.0236,25.95,81,100,17.49
544,Sungai Besar,MY,1638054677,3.6746,100.9867,76.21,90,93,4.09
545,Tres Arroyos,AR,1638054677,-38.3739,-60.2798,57.52,97,100,12.8
546,Narsaq,GL,1638054678,60.9167,-46.05,39.42,99,100,5.23
547,Nobres,BR,1638054678,-14.7203,-56.3275,81.45,73,99,1.19
548,Havre-St-Pierre,CA,1638054679,50.2334,-63.5986,41.36,87,90,11.5
549,Lensk,RU,1638054679,60.7253,114.9278,3.7,90,99,9.04
550,Tabuk,PH,1638054680,17.4189,121.4443,72.91,92,99,1.77
551,Vanimo,PG,1638054680,-2.6741,141.3028,78.17,84,100,4.61
552,Lodja,CD,1638054681,-3.4833,23.4333,66.45,91,95,1.01
553,Yumen,CN,1638054681,40.2833,97.2,25.43,52,100,16.46
554,Prince Rupert,CA,1638054682,54.3161,-130.3201,48.29,87,90,18.41
555,Vikhorevka,RU,1638054682,56.1201,101.1636,13.59,90,100,7.52
556,Verkhniy Avzyan,RU,1638054683,53.5289,57.5372,2.97,92,36,2.28
557,Rio Grande,BR,1638054393,-32.035,-52.0986,68.88,92,71,12.57
558,Vilcún,CL,1638054683,-38.65,-72.2333,54.34,57,20,7.29
559,Amaigbo,NG,1638054684,5.7892,7.8383,75.63,91,65,4.94
560,Broome,US,1638054684,42.2506,-75.833,29.17,63,90,5.75
561,Baft,IR,1638054685,29.234,56.6057,46.63,52,4,1.88
562,Acandí,CO,1638054685,8.5063,-77.2778,77.59,91,54,4.18
563,Castelo Branco,PT,1638054686,39.8222,-7.4909,39.42,61,12,7.16
564,Nyuksenitsa,RU,1638054686,60.4128,44.2397,31.32,97,100,8.01
565,Iquique,CL,1638054687,-20.2208,-70.1431,66.24,78,31,3.87
566,Kamina,CD,1638054687,-8.7386,24.9906,62.53,97,80,2.01
567,Nemuro,JP,1638054688,43.3236,145.575,37.36,69,69,16.11
568,Vigrestad,NO,1638054689,58.5667,5.7,31.68,73,97,4.27
569,Viedma,AR,1638054689,-40.8135,-62.9967,64.76,77,100,2.37
570,Pimentel,PE,1638054690,-6.8367,-79.9342,70.09,73,0,21.85
571,Acarí,PE,1638054690,-15.4311,-74.6158,70.38,75,95,5.66
572,Danjiangkou,CN,1638054691,32.5428,111.5086,46.2,63,97,1.32
573,Matai,TZ,1638054554,-8.3,31.5167,59.59,95,62,5.46
574,Ambovombe,MG,1638054691,-25.1667,46.0833,62.8,62,5,10.07
575,Huilong,CN,1638054692,31.8111,121.655,56.16,70,42,9.19
576,Jizan,SA,1638054693,17.3333,42.6667,81.32,72,0,3.53
577,Rottingdean,GB,1638054694,50.8098,-0.0594,37.69,79,100,30.15
